Product URL,Product Name,Product Price,Product Rating,Product Reviews
/blackfriday,"Amazon Basics Opel Laptop Bag/Office/College Backpack for 15.6 inch laptop(20 L, Grey)","₹1,999",4.0 out of 5 stars,M.R.P: 
/Fastrack-Womens-Sling-Bag-Black/dp/B07MGXR7LT,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,₹459,4.0 out of 5 stars,22
/Safari-Polycarbonate-Midnight-Hardsided-RAY534WMBL/dp/B07WHLHXB9,LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack…,"₹1,799",4.0 out of 5 stars,200+ bought in past month
/Safari-Polycarbonate-Midnight-Hardsided-RAY534WMBL/dp/B07WHLHXB9,"Stylbase 15 inches Kids 3D Cartoon Backpack - Lightweight, Waterproof, Adjustable Shoulder Straps, 3 Compartments, Bottle Holder - Perfect for School and Outdoor Adventures","₹1,567",4 Stars & Up,M.R.P: 
/Shalimar-Premium-Garbage-Extra-Colour/dp/B07KSZTYWX,Price and other details may vary based on product size and colour.,₹494,4.5 out of 5 stars,Price and other details may vary based on product size and colour.
/Shalimar-Premium-Garbage-Extra-Colour/dp/B07KSZTYWX,Shalimar Premium OXO - Biodegradable Garbage Bags Size 30 X 37 Inches (Extra Large) 60 Bags (4 rolls) Dustbin Bag/Trash Bag - Black Color,₹660,4.0 out of 5 stars,"1,457"
/Shalimar-Premium-Garbage-Extra-Colour/dp/B07KSZTYWX#customerReviews,"Stylbase 15 inches Kids 3D Cartoon Backpack - Lightweight, Waterproof, Adjustable Shoulder Straps, 3 Compartments, Bottle Holder - Perfect for School and Outdoor Adventures",₹551,4.3 out of 5 stars,1K+ bought in past month
/blackfriday,"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Small - 30 bags/roll (Pack of 3, Green, For Wet Waste)","₹1,299",4.3 out of 5 stars,(₹8.23/count)
/Shalimar-Premium-Garbage-Extra-Colour/dp/B07KSZTYWX,Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment,₹189,3.8 out of 5 stars,M.R.P: 
/Stylbase-Trends-Polyester-Character-Embossed/dp/B0BNL2PBPH,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Red Black,₹270,4.3 out of 5 stars,212
